"id";"event_id";"bib";"video_count";"videoname";"upload_time";"orientation";"screen_id";"played_time";"played";"detection_time";"detection";"ready";"approved";"trash";"remark"
"60";;"163";"1";"163-1.mov";"2025-10-01 07:55:41";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"61";;"5519";"1";"5519-1.mp4";"2025-10-01 08:42:53";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Hund"
"62";;"2779";"1";"2779-1.mp4";"2025-10-01 09:15:26";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"63";;"12961";"1";"12961-1.mp4";"2025-10-01 10:10:17";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"64";;"15564";"2";"15564-2.mov";"2025-10-01 10:27:27";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"65";;"3621";"1";"3621-1.mov";"2025-10-01 11:01:29";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"66";;"3521";"1";"3521-1.mov";"2025-10-01 11:01:56";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"67";;"1236";"1";"1236-1.mov";"2025-10-01 11:19:55";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"68";;"13184";"1";"13184-1.mov";"2025-10-01 11:20:48";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"69";;"12828";"1";"12828-1.mov";"2025-10-01 11:21:29";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"70";;"13158";"1";"13158-1.mov";"2025-10-01 11:22:01";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"71";;"2779";"2";"2779-2.mp4";"2025-10-01 11:38:46";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"72";;"2779";"3";"2779-3.mp4";"2025-10-01 11:51:53";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"73";;"10538";"1";"10538-1.mov";"2025-10-01 12:16:00";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"74";;"12961";"2";"12961-2.mov";"2025-10-01 12:36:52";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"75";;"12961";"3";"12961-3.mov";"2025-10-01 12:36:55";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"76";;"1499";"1";"1499-1.mp4";"2025-10-01 12:48:44";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"77";;"1499";"2";"1499-2.mp4";"2025-10-01 12:48:57";"2";"1";NULL;"0";NULL;"0";"0";"1";"1";
"78";;"10662";"1";"10662-1.mov";"2025-10-01 13:18:53";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"79";;"15117";"1";"15117-1.mp4";"2025-10-01 13:24:00";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"80";;"22178";"1";"22178-1.mov";"2025-10-01 13:28:44";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"81";;"13001";"1";"13001-1.mov";"2025-10-01 13:38:26";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Ohne Ton"
"82";;"13001";"2";"13001-2.mov";"2025-10-01 13:38:28";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"83";;"13001";"3";"13001-3.mov";"2025-10-01 13:38:29";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"84";;"305";"1";"305-1.mov";"2025-10-01 14:13:02";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"85";;"27947";"1";"27947-1.mov";"2025-10-01 14:25:46";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
